id,old_id,identifier1_type_code,identifier1_type_display,identifier1_type_text,identifier1_system,identifier1_value,identifier1_assigner_display,identifier2_type_code,identifier2_type_display,identifier2_type_text,identifier2_system,identifier2_value,active,name1_use,name1_family,name1_given1,name1_prefix1,name1_suffix1,name1_text,telecom1_system,telecom1_value,telecom1_use,telecom2_system,telecom2_value,telecom2_use,address1_use,address1_line1,address1_city,address1_state,address1_postalCode,address1_country,address1_text,gender,qualification1_ahpraProfessionDetails_Profession_text,qualification1_identifier_type_code,qualification1_identifier_type_display,qualification1_identifier_type_text,qualification1_identifier_system,qualification1_identifier_value,qualification1_code_system,qualification1_code_code,qualification1_code_display,qualification1_code_text,period_start,issuer_display,
manning-meg,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003616566718691 ,,,,,,,,official,MANNING,Meg,,,,phone,0770106543,work,email,meg.m@example.com,,,90 Museum Esp,Barney View,QLD,4287,,,unknown,Surgeons,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC000000003,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
mitchell-frankie,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003616566718709 ,,,,,,,,official,MITCHELL,Frankie,,,,phone,0770104985,work,email,frankie.mitchell@tarampa.emergency.example.com.au,,,87 Cresson Dr,Tarampa,QLD,4311,,,unknown,Other Medical Practitioners,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC000000004,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
guthridge-jarred,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003611566718288 ,,PRES,Prescriber Number,,http://ns.electronichealth.net.au/id/medicare-prescriber-number,8017183,,official,GUTHRIDGE,Jarred,,,,phone,0770109540,work,email,jarred.guthridge@elimbahmedicalcentre.example.com.au,,,30 Western Pl,Elimbah,QLD,4516,,,male,Medical Practitioner,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC000000005,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
samuels-wyatt,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003619900051951 ,,,,,,,,official,SAMUELS,Wyatt,,,,phone,0770109261,work,email,wyatt.samuels@lochlomondmc.example.net,,,158 Bay Ct,Loch Lomond,QLD,4370,,,male,Medical Practitioner,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC000000006,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
leeds-luigi,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003611566718296 ,,PRES,Prescriber Number,,http://ns.electronichealth.net.au/id/medicare-prescriber-number,8017200,,official,LEEDS,Luigi,,,,phone,0770100952,work,email,luigi.leeds@example.com.au,,,111 Gottfried Rvr,Bayview Heights,QLD,4868,,,male,Specialist Medical Practitioners,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC000000007,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
kendall-dallas,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003611566718304 ,,,,,,,,official,KENDALL,Dallas,,,,phone,0770102627,work,email,dallas.kendall@example.net,,,65 John Hts,Coverty,QLD,4613,,,male,Midwives,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC000000008,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
mcleod-clinton,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003616566718733 ,,,,,,,,official,MCLEOD,Clinton,,,,phone,0770100611,work,email,clinton.mcleod@hudsonagedcare.example.net,,,112 Rome Qy,Hudson,QLD,4860,,,male,Registered Nurses,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC000000009,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
springett-angelo,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003611566718312 ,,,,,,,,official,SPRINGETT,Angelo,,,,phone,0770102038,work,email,angelo.springett@glennieheightph.example.com.au,,,100 West Jnc,Glennie Heights,QLD,4370,,,male,Registered Nurses,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000010,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
haywood-byron,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003619900051969 ,,,,,,,,official,HAYWOOD,Byron,,,,phone,0770107684,work,email,byron.haywood@barneyviewph.example.net,,,20 King Rdge,Barney View,QLD,4287,,,male,Registered Nurses,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000011,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
grigg-hung,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003613233384643 ,,,,,,,,official,GRIGG,Hung,,,,phone,0770106751,work,email,hung.grigg@example.com,,,69 Zorro Cl,Nagoorin,QLD,4680,,,male,Specialist Medical Practitioners,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000012,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
shearer-joesfine,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003619900051977 ,,,,,,,,official,SHEARER,Joesfine,,,,phone,0770105746,work,email,joesfine.shearer@carringtonpathology.example.com.au,,,106 John Rdge,Carrington,QLD,4350,,,unknown,Other Medical Practitioners,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000013,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
herbert-aimee,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003619900051985 ,,,,,,,,official,HERBERT,Aimee,,,,phone,0770103753,work,email,aimee.herbert@kiomapathology.example.net,,,41 Woodstock Cl,Kioma,QLD,4498,,,unknown,Other Medical Practitioners,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000014,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
ford-dean,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003613233384668 ,,,,,,,,official,FORD,Dean,,,,phone,0770104329,work,email,dean.ford@eastmackaypharmacy.example.com.au,,,187 Frits Gdns,East Mackay,QLD,4740,,,male,Pharmacists,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000015,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
patrick-manual,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003613233384676 ,,,,,,,,official,PATRICK,Manual,,,,phone,0770101282,work,email,manual.patrick@cracowpharmacy.example.net,,,9 Shall Ct,Cracow,QLD,4719,,,male,Pharmacists,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000016,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
mclean-lizzette,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003616566718741 ,,,,,,,,official,MCLEAN,Lizzette,,,,phone,0770100189,work,email,lizzette.mclean@hudsonagedcare.example.net,,,45 Wolverene Qy,Hudson,QLD,4860,,,unknown,Registered Nurses,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000017,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
rowland-roger,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003618233384907 ,,,,,,,,official,ROWLAND,Roger,,,,phone,0770103122,work,email,roger.rowland@glennieheightph.example.com.au,,,178 Ocean Esp,Glennie Heights,QLD,4370,,,male,Registered Nurses,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000018,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
sinclair-forrest,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003619900052017 ,,,,,,,,official,SINCLAIR,Forrest,,,,phone,0770109646,work,email,forrest.sinclair@barneyviewph.example.net,,,159 Bay Lane,Barney View,QLD,4287,,,male,Registered Nurses,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000019,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
egan-shae,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003614900051325 ,,,,,,,,official,EGAN,Shae,,,,phone,0770101533,work,email,shae.egan@elimbahmedicalcentre.example.com.au,,,22 Cheddar Tce,Elimbah,QLD,4516,,,unknown,Registered Nurses,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000020,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
morton-eric,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003611566718338 ,,,,,,,,official,MORTON,Eric,,,,phone,0770105958,work,email,eric.morton@lochlomondmc.example.net,,,147 Barrack Rdge,Loch Lomond,QLD,4370,,,male,Registered Nurses,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000021,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
lamerton-buck,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003616566718766 ,,,,,,,,official,LAMERTON,Buck,,,,phone,0770104404,work,email,buck.lamerton@southedgepractice.example.com.au,,,46 Hiram Esp,Southedge,QLD,4871,,,male,Registered Nurses,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000022,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
ellis-kylee,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003611566718353 ,,,,,,,,official,ELLIS,Kylee,,,,phone,0770101670,work,email,kylee.ellis@example.net,,,178 Dean Hts,Kaimkillenbun,QLD,4406,,,unknown,Medical Imaging Professionals,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000023,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
berry-millicent,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003618233384923 ,,,,,,,,official,BERRY,Millicent,,,,phone,0770101865,work,email,millicent.berry@beratradiology.example.com.au,,,11 Centenary St,Berat,QLD,4362,,,unknown,Other Medical Practitioners,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000024,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
mclaughlin-kimberlee,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003611566718379 ,,,,,,,,official,MCLAUGHLIN,Kimberlee,,,,phone,0770107257,work,email,kimberlee.mclaughlin@mouncharltonradiology.example.net,,,179 Elenore Jnc,Mount Charlton,QLD,4741,,,unknown,Other Medical Practitioners,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000025,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
marchant-ricki,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003614900051341 ,,,,,,,,official,MARCHANT,Ricki,,,,phone,0770105532,work,email,ricki.marchant@glennieheightph.example.com.au,,,163 Wolverene Tce,Glennie Heights,QLD,4370,,,unknown,Surgeons,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000026,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
armstrong-amada,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003616566718782 ,,,,,,,,official,ARMSTRONG,Amada,,,,phone,0770109893,work,email,amada.armstrong@barneyviewph.example.net,,,66 Olde Ct,Barney View,QLD,4287,,,unknown,Surgeons,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000027,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
macnab-adam,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003616566718790 ,,,,,,,,official,MACNAB,Adam,,,,phone,0770108427,work,email,adam.macnab@example.com.au,,,49 Woodstock Rd,Melawondi,QLD,4570,,,male,Complementary Health Therapists,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000028,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
gore-jess,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003614900051358 ,,,,,,,,official,GORE,Jess,,,,phone,0770108155,work,email,jess.gore@example.net,,,30 Compton Tce,Lundavra,QLD,4390,,,male,Chiropractors and Osteopaths,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000029,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
kelly-virginia,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003616566718808 ,,,,,,,,official,KELLY,Virginia,,,,phone,0770106486,work,email,virginia.kelly@example.com,,,63 Cheddar Pl,Cedar Grove,QLD,4285,,,unknown,Nutrition Professionals,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000030,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
handley-megan,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003611566718395 ,,,,,,,,official,HANDLEY,Megan,,,,phone,0770107283,work,email,megan.handley@example.com.au,,,28 Desleigh Rvr,Gin Gin,QLD,4671,,,unknown,"Dental Hygienists, Technicians and Therapists",AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000031,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
swanborough-erick,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003613233384692 ,,,,,,,,official,SWANBOROUGH,Erick,,,,phone,0770102054,work,email,erick.swanborough@example.net,,,181 John Rd,Cooloola,QLD,4580,,,male,Specialist Medical Practitioners,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000032,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
hamel-denice,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003614900051366 ,,,,,,,,official,HAMEL,Denice,,,,phone,0770106313,work,email,denice.hamel@example.com,,,65 Wolverene Rd,Booie,QLD,4610,,,unknown,Medical Imaging Professionals,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000033,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
gilmore-dane,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003611566718411 ,,,,,,,,official,GILMORE,Dane,,,,phone,0770107575,work,email,dane.gilmore@example.com.au,,,61 Hiram St,Gympie Dc,QLD,4570,,,male,Ambulance Officers and Paramedics,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000034,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
crowley-pablo,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003619900052058 ,,,,,,,,official,CROWLEY,Pablo,,,,phone,0770101509,work,email,pablo.crowley@example.net,,,155 Spring Tce,Banana,QLD,4702,,,male,Surgeons,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000035,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
macnab-gregory,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003618233384964 ,,PRES,Prescriber Number,,http://ns.electronichealth.net.au/id/medicare-prescriber-number,8017239,,official,MACNAB,Gregory,,,,phone,0770104689,work,email,gregory.macnab@example.com,,,67 Abattoir Rvr,Purrawunda,QLD,4356,,,male,Psychiatrists,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000036,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
stapleton-carole,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003613233384700 ,,,,,,,,official,STAPLETON,Carole,,,,phone,0770107574,work,email,carole.stapleton@example.com.au,,,119 Sebastien Cl,Wilston,QLD,4051,,,unknown,Audiologists and Speech Pathologists,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000037,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
taylor-kittie,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003611566718437 ,,,,,,,,official,TAYLOR,Kittie,,,,phone,0270103267,work,email,kittie.taylor@wallendbeenagedcare.example.net,,,154 Constitution Rd,Wallendbeen,NSW,2588,,,female,Registered Nurses,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000038,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
bryan-linsey,,NPI,National provider identifier,HPI-I,http://ns.electronichealth.net.au/id/hi/hpii/1.0,8003614900051382 ,,,,,,,,official,BRYAN,Linsey,,,,phone,0270107661,work,email,linsey.bryan@example.net,,,4 Council Qy,Carcoar,NSW,2791,,,female,Surgeons,AHPRA,Australian Health Practitioner Regulation Agency Registration Number,Ahpra Registration Number,http://hl7.org.au/id/ahpra-registration-number,HAC0000000039,http://terminology.hl7.org.au/CodeSystem/v2-0360,AUAHPRAProfession,AHPRA Profession,,,,
