id,related_person_patient_id,patient_MCN,patient_IRN,patient_dob,patient_age_diff,identifier1_ihiStatus_code,identifier1_ihiRecordStatus_code,identifier1_type_code,identifier1_type_system,identifier1_type_display,identifier1_type_text,identifier1_system,identifier1_value,identifier2_type_code,identifier2_type_system,identifier2_type_display,identifier2_type_text,identifier2_system,identifier2_value,patient_reference_id,relationship_coding1_system,relationship_coding1_code,relationship_coding1_display,name1_use,name1_family,name1_given1,name1_given2,gender,birthDate,telecom1_system,telecom1_use,telecom1_value,telecom2_system,telecom2_use,telecom2_value,telecom3_system,telecom3_use,telecom3_value,address1_line1,address1_city,address1_state,address1_postalCode,address1_country,individual_genderIdentity_value_code,individual_genderIdentity_value_display,individual_pronouns_value_code,individual_pronouns_value_display,individual_recordedSexOrGender_type_code,individual_recordedSexOrGender_type_text,individual_recordedSexOrGender_value_code,individual_recordedSexOrGender_value_text,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banks-jeramy-2,banks-jeramy-ezra,2954541041,2,1983-08-25,12,active,verified,NI,http://terminology.hl7.org/CodeSystem/v2-0203,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608166980417,MC,http://terminology.hl7.org/CodeSystem/v2-0203,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,29545410411,banks-mia-leanne,http://terminology.hl7.org/CodeSystem/v3-RoleCode,HUSB,husband,,BANKS,Jeramy,EZRA,male,1971-05-14,phone,home,0270107520,phone,mobile,0491574118,phone,work,0270101153,50 Sebastien St,Minjary,NSW,2720,AU,,,,,,,,,
banks-jeramy-3,banks-jeramy-ezra,2954541041,3,2008-05-19,37,active,verified,NI,http://terminology.hl7.org/CodeSystem/v2-0203,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608166980417,MC,http://terminology.hl7.org/CodeSystem/v2-0203,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,29545410411,banks-jonas-cary,http://terminology.hl7.org/CodeSystem/v3-RoleCode,FTH,father,,BANKS,Jeramy,EZRA,male,1971-05-14,phone,home,0270107520,phone,mobile,0491574118,phone,work,0270101153,50 Sebastien St,Minjary,NSW,2720,AU,,,,,,,,,
banks-jeramy-4,banks-jeramy-ezra,2954541041,4,2018-08-05,47,active,verified,NI,http://terminology.hl7.org/CodeSystem/v2-0203,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608166980417,MC,http://terminology.hl7.org/CodeSystem/v2-0203,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,29545410411,banks-jamila-angie,http://terminology.hl7.org/CodeSystem/v3-RoleCode,FTH,father,,BANKS,Jeramy,EZRA,male,1971-05-14,phone,home,0270107520,phone,mobile,0491574118,phone,work,0270101153,50 Sebastien St,Minjary,NSW,2720,AU,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mackay-heather-2,mackay-heather,3951334131,2,1978-06-21,4,active,verified,NI,http://terminology.hl7.org/CodeSystem/v2-0203,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608666976451,MC,http://terminology.hl7.org/CodeSystem/v2-0203,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,39513341311,mackay-fritz,http://terminology.hl7.org/CodeSystem/v3-RoleCode,SPS,spouse,,MACKAY,Heather,,female,1982-11-27,phone,home,0370108075,phone,mobile,0491578148,phone,work,0370103228,28 Stone Cr,Appin South,VIC,3579,AU,446151000124109,Identifies as male gender,LA29520-6,they/them/their/theirs/themselves,,,,,
mackay-heather-3,mackay-heather,3951334131,3,2024-01-24,41,active,verified,NI,http://terminology.hl7.org/CodeSystem/v2-0203,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608666976451,MC,http://terminology.hl7.org/CodeSystem/v2-0203,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,39513341311,mackay-elliott,http://terminology.hl7.org/CodeSystem/v3-RoleCode,PRN,parent,,MACKAY,Heather,,female,1982-11-27,phone,home,0370108075,phone,mobile,0491578148,phone,work,0370103228,28 Stone Cr,Appin South,VIC,3579,AU,446151000124109,Identifies as male gender,LA29520-6,they/them/their/theirs/themselves,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ballantyne-flavia-2,ballantyne-flavia-indira,6951826031,2,1978-01-09,4,active,verified,NI,http://terminology.hl7.org/CodeSystem/v2-0203,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608833648488,MC,http://terminology.hl7.org/CodeSystem/v2-0203,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,69518260311,ballantyne-kelvin-hans,http://terminology.hl7.org/CodeSystem/v3-RoleCode,WIFE,wife,,BALLANTYNE,Flavia,INDIRA,female,1973-06-17,phone,home,0870106296,phone,mobile,0491570110,phone,work,0870101585,73 Abattoir Gdns,Wellington Forest,WA,6236,AU,,,,,,,,,
ballantyne-flavia-3,ballantyne-flavia-indira,6951826031,3,2001-01-02,27,active,verified,NI,http://terminology.hl7.org/CodeSystem/v2-0203,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608833648488,MC,http://terminology.hl7.org/CodeSystem/v2-0203,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,69518260311,ballantyne-sandy-choy,http://terminology.hl7.org/CodeSystem/v3-RoleCode,MTH,mother,,BALLANTYNE,Flavia,INDIRA,female,1973-06-17,phone,home,0870106296,phone,mobile,0491570110,phone,work,0870101585,73 Abattoir Gdns,Wellington Forest,WA,6236,AU,,,,,,,,,
ballantyne-flavia-4,ballantyne-flavia-indira,6951826031,4,2004-08-07,31,active,verified,NI,http://terminology.hl7.org/CodeSystem/v2-0203,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608833648488,MC,http://terminology.hl7.org/CodeSystem/v2-0203,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,69518260311,ballantyne-terry-bob,http://terminology.hl7.org/CodeSystem/v3-RoleCode,MTH,mother,,BALLANTYNE,Flavia,INDIRA,female,1973-06-17,phone,home,0870106296,phone,mobile,0491570110,phone,work,0870101585,73 Abattoir Gdns,Wellington Forest,WA,6236,AU,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
veitch-miles-2,veitch-miles-dudley,4951652281,2,2018-12-11,24,active,verified,NI,http://terminology.hl7.org/CodeSystem/v2-0203,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608000311795,MC,http://terminology.hl7.org/CodeSystem/v2-0203,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,49516522811,veitch-savannah-sheena,http://terminology.hl7.org/CodeSystem/v3-RoleCode,FTH,father,,VEITCH,Miles,DUDLEY,male,1994-04-10,phone,home,0870106485,phone,mobile,0491573770,phone,work,0870105678,78 Innovation Cct,Newcastle Waters,NT,0862,AU,,,,,,,,,
veitch-miles-3,veitch-miles-dudley,4951652281,3,2019-12-15,25,active,verified,NI,http://terminology.hl7.org/CodeSystem/v2-0203,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608000311795,MC,http://terminology.hl7.org/CodeSystem/v2-0203,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,49516522811,veitch-mitchell-carl,http://terminology.hl7.org/CodeSystem/v3-RoleCode,FTH,father,,VEITCH,Miles,DUDLEY,male,1994-04-10,phone,home,0870106485,phone,mobile,0491573770,phone,work,0870105678,78 Innovation Cct,Newcastle Waters,NT,0862,AU,,,,,,,,,
veitch-miles-4,veitch-miles-dudley,4951652281,4,2020-10-09,26,active,verified,NI,http://terminology.hl7.org/CodeSystem/v2-0203,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608000311795,MC,http://terminology.hl7.org/CodeSystem/v2-0203,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,49516522811,veitch-beau-bradley,http://terminology.hl7.org/CodeSystem/v3-RoleCode,FTH,father,,VEITCH,Miles,DUDLEY,male,1994-04-10,phone,home,0870106485,phone,mobile,0491573770,phone,work,0870105678,78 Innovation Cct,Newcastle Waters,NT,0862,AU,,,,,,,,,
veitch-miles-5,veitch-miles-dudley,4951652281,5,2022-06-01,28,active,verified,NI,http://terminology.hl7.org/CodeSystem/v2-0203,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608000311795,MC,http://terminology.hl7.org/CodeSystem/v2-0203,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,49516522811,veitch-nathan-chris,http://terminology.hl7.org/CodeSystem/v3-RoleCode,FTH,father,,VEITCH,Miles,DUDLEY,male,1994-04-10,phone,home,0870106485,phone,mobile,0491573770,phone,work,0870105678,78 Innovation Cct,Newcastle Waters,NT,0862,AU,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dietrich-phillipa-2,dietrich-phillipa-grace,2954541131,2,2017-04-20,31,active,verified,NI,http://terminology.hl7.org/CodeSystem/v2-0203,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608666976485,MC,http://terminology.hl7.org/CodeSystem/v2-0203,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,29545411311,dietrich-blake-louis,http://terminology.hl7.org/CodeSystem/v3-RoleCode,MTH,mother,,DIETRICH,Phillipa,GRACE,female,1985-06-16,phone,home,0270109317,phone,mobile,0433350288,phone,work,0270103810,77 Yoga Rdge,Mitchell,ACT,2911,AU,,,,,,,,,
dietrich-phillipa-3,dietrich-phillipa-grace,2954541131,3,2017-04-20,31,active,verified,NI,http://terminology.hl7.org/CodeSystem/v2-0203,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608666976485,MC,http://terminology.hl7.org/CodeSystem/v2-0203,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,29545411311,dietrich-kimbra-althea,http://terminology.hl7.org/CodeSystem/v3-RoleCode,MTH,mother,,DIETRICH,Phillipa,GRACE,female,1985-06-16,phone,home,0270109317,phone,mobile,0433350288,phone,work,0270103810,77 Yoga Rdge,Mitchell,ACT,2911,AU,,,,,,,,,
dietrich-phillipa-4,dietrich-phillipa-grace,2954541131,4,2017-04-20,31,active,verified,NI,http://terminology.hl7.org/CodeSystem/v2-0203,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608666976485,MC,http://terminology.hl7.org/CodeSystem/v2-0203,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,29545411311,dietrich-diedre-alicia,http://terminology.hl7.org/CodeSystem/v3-RoleCode,MTH,mother,,DIETRICH,Phillipa,GRACE,female,1985-06-16,phone,home,0270109317,phone,mobile,0433350288,phone,work,0270103810,77 Yoga Rdge,Mitchell,ACT,2911,AU,,,,,,,,,
