id,old_id,indigenousStatus_code,indigenousStatus_display,birthPlace_text,birthPlace_country,dateOfArrival,interpreterRequired,identifier1_ihiStatus_code,identifier1_ihiRecordStatus_code,identifier1_use,identifier1_type_code,identifier1_type_system,identifier1_type_display,identifier1_type_text,identifier1_system,identifier1_value,identifier1_period_end,identifier1_assigner_display,identifier2_type_code,identifier2_type_system,identifier2_type_display,identifier2_type_text,identifier2_system,identifier2_value,identifier2_assigner_display,identifier3_type_code,identifier3_type_system,identifier3_type_display,identifier3_type_text,identifier3_system,identifier3_value,identifier3_assigner_display,name1_use,name1_text,name1_family,name1_given1,name1_given2,name1_prefix,name2_use,name2_text,name2_family,name2_given1,name2_given2,name2_prefix,telecom1_system,telecom1_use,telecom1_value,telecom2_system,telecom2_use,telecom2_value,telecom3_system,telecom3_use,telecom3_value,telecom4_system,telecom4_use,telecom4_value,gender,birthDate,birthDate_birthTime,birthDate_accurancyIndicator_code,birthDate_accurancyIndicator_display,address1_use,address1_line1,address1_line2,address1_city,address1_state,address1_postalCode,address1_country,address2_use,address2_line1,address2_line2,address2_city,address2_state,address2_postalCode,address2_country,communication1_language_code,communication1_language_system,communication1_language_text,communication1_preferred,individual_genderIdentity_value_code,individual_genderIdentity_value_display,individual_pronouns_value_code,individual_pronouns_value_display,individual_recordedSexOrGender_type_code,individual_recordedSexOrGender_type_text,individual_recordedSexOrGender_value_code,individual_recordedSexOrGender_value_text
,hayes-maria,4,Neither Aboriginal nor Torres Strait Islander origin,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608833648397,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,49516513011,,,,,,,,,official,,HAYES,Maria,,Ms.,,,,,,,phone,home,0770101471,phone,mobile,0491570157,phone,work,0770104085,,,,female,1959-07-12,,,,,198 Stone Pl,,Morgan Park,QLD,4370,AU,,,,,,,,,,,,,,,,,,,
boulton-annika,,4,Neither Aboriginal nor Torres Strait Islander origin,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608000311613,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,49516511211,,,,,,,,,official,,BOULTON,Annika,,,,,,,,,phone,home,0770104204,phone,mobile,0491570006,phone,work,0770102941,email,,annika.boulton@example.com.au,female,1956-11-28,,,,,55 Compton Pde,,Draper,QLD,4520,AU,,,,,,,,,,,,,,,,,,,
howe-deangelo,,4,Neither Aboriginal nor Torres Strait Islander origin,Cyprus,CYP,2015,true,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608000311621,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,49516512111,,,,,,,,,official,,HOWE,Deangelo,,Mr,,,,,,,phone,home,0770109269,phone,mobile,0491570156,phone,work,0770105770,email,,deangelo.howe@example.net,male,1975-06-21,,AAA,"Day, month and year are accurate",home,134 Copper Hts,,Curra,QLD,4570,AU,,,,,,,,el,urn:ietf:bcp:47,Greek,true,,,,,,,,
hayes-arianne,,4,Neither Aboriginal nor Torres Strait Islander origin,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608833648397,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,49516513011,,,,,,,,,official,,HAYES,Arianne,,Ms.,,,,,,,phone,home,0770101471,phone,mobile,0491570157,phone,work,0770104085,email,,arianne.hayes@example.com,female,1961-07-12,,,,,198 Stone Pl,,Morgan Park,QLD,4370,AU,,,,,,,,,,,,,,,,,,,
roberts-fred,,4,Neither Aboriginal nor Torres Strait Islander origin,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608500314661,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,49516514911,,,,,,,,,official,,ROBERTS,Fred,,,,,,,,,phone,home,0770109298,phone,mobile,0491570158,phone,work,0770104622,email,,fred.roberts@myownpersonaldomain.com,male,1961-06-16,,,,,33 Southern Cl,,Westbrook,QLD,4350,AU,,,,,,,,,,,,,,,,,,,
belger-remedios,,3,Both Aboriginal and Torres Strait Islander origin,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608666976378,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,49516515811,,,,,,,,,official,,BELGER,Remedios,,,,,,,,,phone,home,0770109100,phone,mobile,0491570159,phone,work,0770103121,email,,remedios.belger@example.net,female,1989-01-04,,,,,200 Ocean Pl,,Logan Reserve,QLD,4133,AU,,,,,,,,,,,,,,,,,,,
callow-veronica-connie,,4,Neither Aboriginal nor Torres Strait Islander origin,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608666976436,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,49516519411,,DVAU,http://terminology.hl7.org.au/CodeSystem/v2-0203,DVA Number,DVA Number,http://ns.electronichealth.net.au/id/dva,QX291305,,official,,CALLOW,Veronica,CONNIE,,,,,,,,phone,home,0770105209,phone,mobile,0491570110,phone,work,0770104150,email,,veronica.callow@example.com,female,1992-02-07,,,,,169 Zorro Hts,,Corella,QLD,4570,AU,,,,,,,,,,,,,,,,,,,
lynch-alyce-shauna,,3,Both Aboriginal and Torres Strait Islander origin,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608333647212,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,49516520011,,,,,,,,,official,,LYNCH,Alyce,SHAUNA,,,,,,,,phone,home,0770109326,phone,mobile,0491570313,phone,work,0770104778,email,,alyce.lynch@example.com.au,female,2009-12-02,,,,,162 Pine Cnr,,Miami,QLD,4220,AU,,,,,,,,,,,,,,,,,,,
baldry-terence-emile,,1,Aboriginal but not Torres Strait Islander origin,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608166980391,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,49516521911,,,,,,,,,official,,BALDRY,Terence,EMILE,,usual,Terry Jones,,,,,phone,home,0770108549,phone,mobile,0491570737,phone,work,0770102417,email,,terence.baldry@example.net,male,1990-10-26,,,,,184 Victoria Pnt,,Upper Glastonbury,QLD,4570,AU,,,,,,,,,,,,,,,,,,,
martin-shawn,,,,,,,,active,unverified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608833648454,,,,,,,,,,,,,,,,,official,,MARTIN,Shawn,,,,,,,,,phone,home,0770106438,phone,mobile,0491571266,phone,work,0770107277,email,,shawn.martin@example.com,other,1942-07-11,,,,,12 Pheonix Lane,,Walliebum,QLD,4655,AU,,,,,,,,,,,,,,,,,,,
odonnell-gillian,,,,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608666976469,,,,,,,,,,,,,,,,,official,,O'DONNELL,Gillian,,,,,,,,,phone,home,0770102317,phone,mobile,0491571491,phone,work,0770109114,email,,gillian.o'donnell@myownpersonaldomain.com,other,1977-03-27,,,,,81 Gateway Esp,,Loganlea,QLD,4131,AU,,,,,,,,,,,,,,,,,,,
johnson-joyce,,4,Neither Aboriginal nor Torres Strait Islander origin,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608500314679,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,29545401611,,,,,,,,,official,,JOHNSON,Joyce,,,,,,,,,phone,home,0270108012,phone,mobile,0491571804,phone,work,0270109558,email,,joyce.johnson@example.com.au,female,1985-02-06,,,,,139 River Lane,,Palmvale,NSW,2484,AU,,,,,,,,,,,,,,,,,,,
keaton-jayme,,9,Not stated/inadequately described,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608833648405,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,29545402511,,,,,,,,,official,,KEATON,Jayme,,,,,,,,,phone,home,0270104520,phone,mobile,0491572549,phone,work,0270103592,email,,jayme.keaton@example.net,female,1994-04-15,,,,,143 Short Cir,,Berowra,NSW,2081,AU,,,,,,,,,,,,,,,,,,,
irvine-ronny-lawrence,,2,Torres Strait Islander but not Aboriginal origin,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608833648421,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,29545407011,,DVAU,http://terminology.hl7.org.au/CodeSystem/v2-0203,DVA Number,DVA Number,http://ns.electronichealth.net.au/id/dva,QX827261,,official,,IRVINE,Ronny,LAWRENCE,,,,,,,,phone,home,0270105046,phone,mobile,0491572665,phone,work,0270100361,email,,ronny.irvine@myownpersonaldomain.com,male,1953-07-19,,,,,180 Hermann Rd,,Belmore River,NSW,2440,AU,,,,,,,,,,,,33791000087105,Identifies as nonbinary gender,LA29520-6,they/them/their/theirs/themselves,1515311000168102,Biological sex at birth,248153007,Male
cane-cheyenne-elaina,,1,Aboriginal but not Torres Strait Islander origin,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608500314737,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,29545409811,,,,,,,,,official,,CANE,Cheyenne,ELAINA,,usual,Chey Cane,,,,,phone,home,0270105226,phone,mobile,0491572983,phone,work,0270103169,email,,cheyenne.cane@example.com.au,female,1970-04-10,,,,,85 Dock Cct,,Mongarlowe,NSW,2622,AU,,,,,,,,,,,,,,,,,,,
baldwin-dinah,,,,,,,,active,unverified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608833648462,,,,,,,,,,,,,,,,,official,,BALDWIN,Dinah,,,,,,,,,phone,home,0270101193,phone,mobile,0491573770,phone,work,0270106081,email,,dinah.baldwin@my-own-personal-domain.com,other,1958-08-19,,,,,128 Stone Jnc,,Largs,NSW,2320,AU,,,,,,,,,,,,,,,,,,,
hoskins-marisa,,,,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608333647246,,,,,,,,,,,,,,,,,official,,HOSKINS,Marisa,,,,,,,,,phone,home,0942991234,,,,,,,,,,other,1991-02-06,,,,,23 Rogers Road Bay View,,Napier,(New Zealand),4104,,,,,,,,,,,,,,,,,,,,
banks-jeramy-ezra,,4,Neither Aboriginal nor Torres Strait Islander origin,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608166980417,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,29545410411,,,,,,,,,official,,BANKS,Jeramy,EZRA,,,,,,,,phone,home,0270107520,phone,mobile,0491574118,phone,work,0270101153,email,,jeramy.banks@example.com.au,male,1971-05-14,,,,,50 Sebastien St,,Minjary,NSW,2720,AU,,,,,,,,,,,,,,,,,,,
banks-mia-leanne,,9,Not stated/inadequately described,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608333647261,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,29545410412,,,,,,,,,official,,BANKS,Mia,LEANNE,,,,,,,,phone,home,0270107520,phone,mobile,0491574632,phone,work,0270102724,email,home,mia.banks@myownpersonaldomain.com,female,1983-08-25,,,,,50 Sebastien St,,Minjary,NSW,2720,AU,,,,,,,,,,,,446141000124107,Identifies as female gender,LA29519-8,she/her/her/hers/herself,1515311000168102,Biological sex at birth,248152002,Female
banks-jonas-cary,,1,Aboriginal but not Torres Strait Islander origin,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608000311753,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,29545410413,,,,,,,,,official,,BANKS,Jonas,CARY,,,,,,,,phone,home,0270107520,phone,mobile,0491575254,,,,email,,jonas.banks@example.com,male,2008-05-19,,,,,50 Sebastien St,,Minjary,NSW,2720,AU,,,,,,,,,,,,,,,,,,,
banks-jamila-angie,,4,Neither Aboriginal nor Torres Strait Islander origin,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608000311761,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,29545410414,,,,,,,,,official,,BANKS,Jamila,ANGIE,,,,,,,,phone,home,0270107520,,,,,,,,,,female,2018-08-05,,,,,50 Sebastien St,,Minjary,NSW,2720,AU,,,,,,,,,,,,,,,,,,,
ewing-ferdinand,,9,Not stated/inadequately described,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608166980375,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,39513336111,,,,,,,,,official,,EWING,Ferdinand,,,,,,,,,phone,home,0370102259,phone,mobile,0491576398,phone,work,0370103189,email,,ferdinand.ewing@myownpersonaldomain.com.au,male,1961-09-23,,,,,134 William Dr,,Ringwood East,VIC,3135,AU,,,,,,,,,,,,,,,,,,,
foreman-caterina,,4,Neither Aboriginal nor Torres Strait Islander origin,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608666976386,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,39513337011,,,,,,,,,official,,FOREMAN,Caterina,,,,,,,,,phone,home,0370109077,phone,mobile,0491576801,phone,work,0370106312,email,,caterina.foreman@my-own-personal-domain.com,female,1970-07-24,,,,,149 Farmer Cnr,,Sunshine,VIC,3020,AU,,,,,,,,,,,,,,,,,,,
inveraity-polly,,3,Both Aboriginal and Torres Strait Islander origin,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608000311639,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,39513338911,,,,,,,,,official,,INVERAITY,Polly,,,,,,,,,phone,home,0370105805,phone,mobile,0491577426,phone,work,0370105914,email,,polly.inveraity@example.com,female,1996-03-03,,,,,80 Mill Hts,,Mount Doran,VIC,3334,AU,,,,,,,,,,,,,,,,,,,
morris-charlotte,,1,Aboriginal but not Torres Strait Islander origin,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608500314687,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,39513339811,,,,,,,,,official,,MORRIS,Charlotte,,,,,,,,,phone,home,0370103886,phone,mobile,0491577644,phone,work,0370106762,email,,charlotte.morris@my-own-personal-domain.com,female,1994-11-11,,,,,175 Zeppelin Ave,,Mountain View,VIC,3988,AU,,,,,,,,,,,,,,,,,,,
hoskins-sergio-lionel,,9,Not stated/inadequately described,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608666976410,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,39513340411,,DVAU,http://terminology.hl7.org.au/CodeSystem/v2-0203,DVA Number,DVA Number,http://ns.electronichealth.net.au/id/dva,QX682705,,official,,HOSKINS,Sergio,LIONEL,,,,,,,,phone,home,0370106462,phone,mobile,0491578957,phone,work,0370106474,email,,sergio.hoskins@example.net,male,1991-05-13,,,,,112 Farmer Hts,,Tostaree,VIC,3888,AU,,,,,,,,,,,,,,,,,,,
mackay-heather,,1,Aboriginal but not Torres Strait Islander origin,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608666976451,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,39513341311,,,,,,,,,official,,MACKAY,Heather,,,,,,,,,phone,home,0370108075,phone,mobile,0491578148,phone,work,0370103228,email,,heather.mackay@example.com,female,1982-11-27,,,,,28 Stone Cr,,Appin South,VIC,3579,AU,,,,,,,,,,,,,,,,,,,
mackay-fritz,,9,Not stated/inadequately described,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608000311712,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,39513341312,,,,,,,,,official,,MACKAY,Fritz,,,,,,,,,phone,home,0370108075,phone,mobile,0491578888,phone,work,0370105614,email,,fritz.mackay@example.com.au,male,1978-06-21,,,,,28 Stone Cr,,Appin South,VIC,3579,AU,,,,,,,,,,,,,,,,,,,
mackay-elliott,,1,Aboriginal but not Torres Strait Islander origin,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608333647220,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,39513341313,,,,,,,,,official,,MACKAY,Elliott,,,,,,,,,phone,home,0370108075,,,,,,,,,,male,2024-01-24,,,,,28 Stone Cr,,Appin South,VIC,3579,AU,,,,,,,,,,,,,,,,,,,
nielsen-eleanore,,,,,,,,expired,unverified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608500314752,,,,,,,,,,,,,,,,,official,,NIELSEN,Eleanore,,,,,,,,,phone,home,0370106104,phone,mobile,0491579760,phone,work,0370109170,email,,eleanore.nielsen@example.com,other,1945-04-12,,,,,170 Rail Lane,,Powelltown,VIC,3797,AU,,,,,,,,,,,,,,,,,,,
moffitt-heath-igor,,4,Neither Aboriginal nor Torres Strait Islander origin,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608666976477,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,39513342211,,,,,,,,,official,,MOFFITT,Heath,IGOR,,usual,Igor Morris,,,,,phone,home,0370103122,phone,mobile,0491579455,phone,work,0370105436,email,,heath.moffitt@example.com.au,male,1956-06-15,,,,,103 King Gr,,Darraweit Guim,VIC,3756,AU,,,,,,,,,,,,,,,,,,,
thomson-mika,,2,Torres Strait Islander but not Aboriginal origin,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608000311647,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,69518250611,,,,,,,,,official,,THOMSON,Mika,,,,,,,,,phone,home,0870106164,phone,mobile,0491573087,phone,work,0870101470,email,,mika.thomson@example.com.au,female,1964-07-17,,,,,75 Ida Rd,,Bulyee,WA,6306,AU,,,,,,,,,,,,,,,,,,,
moylan-brock,,3,Both Aboriginal and Torres Strait Islander origin,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608000311654,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,69518251511,,,,,,,,,official,,MOYLAN,Brock,,,,,,,,,phone,home,0870107965,phone,mobile,0491570006,phone,work,0870103483,email,,brock.moylan@example.net,male,1985-10-02,,,,,114 Olde Tce,,Narra Tarra,WA,6532,AU,,,,,,,,,,,,,,,,,,,
baratz-toni,,1,Aboriginal but not Torres Strait Islander origin,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608000311662,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,69518252411,,,,,,,,,official,,BARATZ,Toni,,,,,,,,,phone,home,0870101270,phone,mobile,0491570156,phone,work,0870108006,email,,toni.baratz@myownpersonaldomain.com,female,1978-06-16,,,,,24 Law Cir,,Bassendean,WA,6054,AU,,,,,,,,yub,urn:ietf:bcp:47,Yugambal,,446141000124107,Identifies as female gender,LA29519-8,she/her/her/hers/herself,1515311000168102,Biological sex at birth,248152002,Female
hampton-jenice,,4,Neither Aboriginal nor Torres Strait Islander origin,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608500314695,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,69518253311,,,,,,,,,official,,HAMPTON,Jenice,,,,,,,,,phone,home,0870104626,phone,mobile,0491570157,phone,work,0870108919,email,,jenice.hampton@example.com.au,female,1997-08-25,,,,,72 Rail Gr,,Capel River,WA,6271,AU,,,,,,,,,,,,,,,,,,,
bassett-imogene-betsy,,2,Torres Strait Islander but not Aboriginal origin,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608000311696,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,69518257911,,DVAU,http://terminology.hl7.org.au/CodeSystem/v2-0203,DVA Number,DVA Number,http://ns.electronichealth.net.au/id/dva,QX144963,,official,,BASSETT,Imogene,BETSY,,,,,,,,phone,home,0870104102,phone,mobile,0491570158,phone,work,0870108047,email,,imogene.bassett@example.net,female,1966-08-20,,,,,67 Hume Cct,,Moorine Rock,WA,6425,AU,,,,,,,,,,,,,,,,,,,
campbell-ambrose,,,,,,,,active,unverified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608000311720,,,,,,,,,,,,,,,,,official,,CAMPBELL,Ambrose,,,,,,,,,phone,home,0870101091,phone,mobile,0491570159,phone,work,0870100834,email,,ambrose.campbell@example.com,unknown,1995-06-16,,,,,188 Plaza Est,,Rossmore,WA,6401,AU,,,,,,,,,,,,,,,,,,,
ballantyne-flavia-indira,,9,Not stated/inadequately described,,,,,active,verified,,NI,,,IHI,http://ns.electronichealth.net.au/id/hi/ihi/1.0,8003608833648488,,,MC,,,Medicare Number,http://ns.electronichealth.net.au/id/medicare-number,69518260311,,,,,,,,,official,,BALLANTYNE,Flavia,INDIRA,,,,,,,,phone,home,0870106296,phone,mobile,0491570110,phone,work,0870101585,email,,flavia.ballantyne@example.com.au,female,1973-06-17,,,,,73 Abattoir Gdns,,Wellington Forest,WA,6236,AU,,,,,,,,,,,,,,,,,,,
