id,extension_indigenousStatus,identifier_ihi,identifier_medicare,identifier_dva,name_official_family,name_official_given1,name_official_given2,name_usual_given,telecom_home_phone,telecom_mobile_phone,telecom_email,gender,birthDate,birthDate_accurancyIndicator,address_home_line1,address_home_city,address_home_state,address_home_postalCode,address_postal_line1,address_postal_line2,address_postal_city,address_postal_state,address_postal_postalCode,communication1_language_code,communication1_language_system,communication1_language_display,communication1_preferred
60a1616e-a3ad-d98f-b795-ed805cfa53b6,,8003608333339299 ,39501327211,,LAMB,DANIELLA,I,,,,,female,1964-10-20,,978 HENRY AVE,KONONGWOOTONG,VIC,3315,,,,,,,,,
3919750e-fc76-c510-4601-27ec65492468,,8003608500006200 ,29502160111,,BOYETTE,GRETEL,H,,,,,female,1976-09-06,,225 ELAINA GR,THE BASIN,NSW,2108,,,,,,,,,
03c68e00-0b69-8e79-5bf5-8f0e8eb50422,,8003608000005769 ,49501777011,,LANIER,LAYLA,J,,,,,female,1956-10-10,,489 CORDELIA CR,KEEBRA PARK,QLD,4215,,,,,,,,,
93f5a431-3191-a665-779a-eafb80769915,,8003608666672845 ,69501582811,,BARBER,LISA,Z,,,,,female,1957-03-05,,634 KINGSLEY PL,CARRICK,TAS,7291,,,,,,,,,
a211c1a3-8f97-5722-2fa0-cce7d9683532,,8003608833339906 ,39501328111,,FRAZIER,KENT,I,,,,,male,1976-02-11,,676 GEORGI PL,BROADWATER,VIC,3301,,,,,,,,,
ecfdaa2a-cb0c-8106-a001-03b72845a1b7,,8003608500006218 ,29502161011,,KEITH,ANNA,T,,,,,female,1971-02-24,,543 DOREEN PL,THE BASIN,NSW,2108,,,,,,,,,
a5f9180f-abac-44f9-5a01-67480af3238a,,8003608833339914 ,49501778911,,ALEXANDER,BRIAN,O,,,,,male,1948-09-03,,484 GERHARDT CCT,SURFERS PARADISE,QLD,4217,,,,,,,,,
a7ebbbc6-a1c5-ff97-98ce-a32d9788978d,,8003608166672667 ,39501329011,,CLAPP,JEREMIAH,Q,,,,,male,1978-05-21,,835 GUSTAF ST,HAMILTON,VIC,3300,,,,,,,,,
f18f218a-adfb-1a78-162b-2c52dc40649a,,8003608666672852 ,49501779811,,GAY,BEVERLY,K,,,,,female,1976-08-04,,874 FRED CR,NEWCASTLE WATERS,NT,0862,,,,,,,,,
a6b587dc-9595-b6f9-fabe-247652d0dc69,,8003608666672860 ,29502162911,,BANKS,JAYNE,A,,,,,female,1969-04-15,,774 DINH PL,WEST RYDE,NSW,2114,,,,,,,,,
4b096966-9926-9f81-0f54-a530dc6b0f34,,8003608500006226 ,29502163811,,HEWITT,BERYL,X,,,,,female,1976-02-17,,205 IGNATIUS CR,EASTWOOD,NSW,2122,,,,,,,,,
6afce781-2b12-a639-5b01-88725eea6879,,8003604570631431,2950189841 ,NX623461,Forde,Frederick,,,,,,male,1928-01-16,,41 Union Street,Maryville,NSW,2293,,,,,,,,,
f282d025-d77f-c803-0087-5dceff2a9070,,8003606791864386,2950189931 ,NX623462,Gibbs,George,,,,,,male,1990-03-20,,41 Water Street,Merewether,NSW,2291,,,,,,,,,
31f05bf8-529e-3d6f-cce9-310ec5811c4b,,8003602348417661,2950190021 ,NX623463,Goldsmith,Jane,,,,,,female,1977-06-12,,40 School Street,Adamstown,NSW,2289,,,,,,,,,
49fd40c9-3b1e-bb3a-7993-32bdf1e0aa8f,,8003602348417711,2950190111 ,NX623464,Gomez,Angelica,Sophia,Ang,,,,female,1981-07-11,,39 North Street,Broadmeadow,NSW,2292,,,,,,,,,
db574886-b163-fb74-409b-3aef85026212,,8003605681662611,2950190201 ,NX623465,Greenfield,Amy,Louise,,,,,female,1961-02-10,,39 Spring Street,Kotara,NSW,2289,,,,,,,,,
013292b3-51e3-52e1-d3b1-a5862a496c95,,8003602348417802,2950190391 ,NX623466,Gutierrez,Angela,Tahlia,,,,,female,1975-03-21,,38 Oak Street,New Lambton Heights,NSW,2305,,,,,,,,,
948fccbb-f640-b3b4-24d5-4a5761ba7a4d,,8003606791864576,2950190481 ,NX623467,Samuels,Amelia,,,,,,female,1971-10-15,,37 River Road,Georgetown,NSW,2298,,,,,,,,,
47a6e2ef-e4f7-1d7f-3d3a-d6eb2bedfe40,,8003604570631753,2950190571 ,NX623468,Furrows,Claudia,Jane,,,,,female,1963-11-08,,36 Prospect Street,Waratah,NSW,2298,,,,,,,,,
a657e91d-4051-bf26-5919-6b5ded1a53b3,,8003603459533262,2950190661 ,NX623469,Schmidt,Helga,,Joan,,,,female,1942-08-19,,35 Market Street,Callaghan,NSW,2308,,,,,,,,,
9d29e14b-4b3b-84c5-233f-e6ea1282e5e5,,8003603459533387,2950190751 ,NX623470,Roper,Scott,,,,,,male,1980-02-28,,33 Court Street,Jesmond,NSW,2299,,,,,,,,,
afb7e359-f614-93e9-7b8e-27637b9eb1fc,,8003603459533437,2950190841 ,NX623471,Hernandez,Chloe,Ruby,,,,,female,1990-12-25,,32 Park Street,Garden Suburb,NSW,2289,,,,,,,,,
881fa710-a983-804a-b302-a95f4334a85f,,8003601242748627,4950152151 ,QX712345,Benstead,Olivia,,,,,,female,2009-06-17,,32 Washington Avenue,Forest Lake,QLD,4078,,,,,,,,,
1a750e36-0a59-8d76-5b02-076c2da22db8,,8003605681663049,4950152241 ,QX712346,Barker,Emily,Mia,,,,,female,2011-06-01,,31 Front Street,Inala,QLD,4077,,,,,,,,,
88114145-d939-2ae5-c7d5-cc89fe4307f0,,8003602348418370,4950152331 ,QX712347,Black,Emma,Maya,,,,,female,1982-12-13,,30 3rd Street,Ellen Grove,QLD,4078,,,,,,,,,
3e2ee9ea-965a-0d11-e4a7-f7f6b83ce39b,,8003601242748767,4950152421 ,QX712348,Hunter,Steven,J,Steve,,,,male,1975-06-19,,30 Cedar Street,Carole Park,QLD,4300,,,,,,,,,
c70885a6-e536-6cbe-713f-f0a5a5dad118,,8003601242748809,4950152511 ,QX712349,Flinders,Jacob,,Jake,,,,male,1981-03-14,,28 Central Avenue,Richlands,QLD,4077,,,,,,,,,
fca2f7ba-a3a2-da12-5efd-1ecf213431c0,,8003603459533734,4950152601 ,QX712350,Huey,Brett,,,,,,male,1932-03-01,,28 Cherry Street,Pallara,QLD,4110,,,,,,,,,
04192256-f96c-b88d-43db-c5e98e7da114,,8003606791865201,4950152791 ,QX712351,Johnson,Judith,Jane,,,,,female,1971-09-13,,28 Highland Avenue,Doolandella,QLD,4077,,,,,,,,,
2337f28f-aa4d-4357-9721-81f4baabb536,,8003606791865227,4950152881 ,QX712352,Fields,Gemma,,,,,,female,1986-10-21,,27 Spruce Street,Durack,QLD,4077,,,,,,,,,
2bc0423e-5eff-7899-a46a-522d371d3b67,,8003605681663296,4950152971 ,QX712353,Kelleher,John,,Jonny,,,,male,1980-08-22,,27 West Street,Willawong,QLD,4110,,,,,,,,,
fe42572e-4422-69e4-afa4-fc29f6740245,,8003603459533882,4950153031 ,QX712354,Morrison,Matthew,Kurt,Matt,,,,male,1988-06-11,,26 Franklin Street,Wacol,QLD,4076,,,,,,,,,
